
Iteration; Rate; AvgRate; NumberOfSensors 
1237;58.13;80,91782;1
1238;73.09;80,91151;1
1240;72.85;80,8921;1
1241;95.07;80,90353;1
1243;83.29;80,88164;1
1244;75.23;80,87709;1
1246;52.57;80,84406;1
1247;57.65;80,82546;1
1249;91.39;80,82632;1
1250;73.70;80,82062;1
1252;88.04;80,8108;1
1253;102.34;80,82798;1
1255;91.38;80,82883;1
1256;53.60;80,80715;1
1258;66.87;80,79786;1
1259;81.56;80,79846;1
1261;80.09;80,80148;1
1262;82.61;80,80291;1
1264;64.42;80,76292;1
1265;60.61;80,74699;1
1267;72.62;80,74097;1
1268;87.50;80,7463;1
1270;57.05;80,70448;1
1271;81.03;80,70473;1
1273;69.86;80,67719;1
1274;77.30;80,67455;1
1276;76.55;80,64648;1
1277;42.45;80,61657;1
1279;72.89;80,61412;1
1280;49.19;80,58957;1
1282;74.00;80,58356;1
1283;51.49;80,56089;1
1285;54.38;80,51913;1
1286;10.13;80,46439;1
1288;86.76;80,45406;1
1289;78.84;80,4528;1
1291;111.98;80,45405;1
1292;60.41;80,43854;1
1294;104.61;80,4521;1
1295;83.59;80,45453;1
1297;65.29;80,44215;1
1298;77.10;80,43958;1
1300;79.36;80,43951;1
1301;61.28;80,42478;1
1303;80.83;80,42567;1
1304;92.98;80,4353;1
1306;75.56;80,42445;1
1307;80.06;80,42416;1
1309;61.75;80,40127;1
1310;68.94;80,39252;1
1312;61.45;80,36403;1
1313;64.63;80,35204;1
1315;74.60;80,33823;1
1316;54.97;80,31895;1
1318;53.38;80,29903;1
1319;63.43;80,28624;1
1321;80.12;80,2744;1
1322;71.26;80,26758;1
1324;59.50;80,23247;1
1325;68.60;80,22369;1
1327;58.46;80,18686;1
1328;87.32;80,19223;1
1330;94.98;80,17854;1
1331;47.60;80,15407;1
1333;50.10;80,12553;1
1334;40.90;80,09612;1
1336;72.68;80,0722;1
1337;64.83;80,06081;1
1339;73.61;80,03294;1
1340;74.31;80,02866;1
1342;76.82;80,01765;1
1343;72.00;80,01169;1
1345;73.90;79,99126;1
1346;68.44;79,98267;1
1348;127.75;80,01863;1
1349;64.39;80,00705;1
1351;70.47;79,98728;1
1352;63.32;79,97495;1
1354;68.27;79,95499;1
1355;87.71;79,96072;1
1357;108.51;79,99257;1
1358;68.96;79,98444;1
1360;88.64;79,97575;1
1361;56.71;79,95865;1
1363;49.46;79,93894;1
1364;70.81;79,93225;1
1366;64.45;79,891;1
1367;63.79;79,87923;1
1369;56.20;79,84022;1
1370;57.95;79,82424;1
1372;124.22;79,85708;1
1373;71.15;79,85073;1
1375;72.82;79,82402;1
1376;82.45;79,82593;1
1378;68.89;79,79437;1
1379;71.03;79,78802;1
1381;73.84;79,77895;1
1382;60.47;79,76498;1
1384;94.78;79,7739;1
1385;75.62;79,7709;1
1387;58.42;79,74459;1
1388;71.10;79,73836;1
1390;94.56;79,74943;1
1391;55.95;79,73232;1
1393;66.56;79,72205;1
1394;75.62;79,71911;1
1396;89.72;79,72882;1
1397;76.35;79,7264;1
1399;69.72;79,71702;1
1400;58.68;79,702;1
1402;126.82;79,7372;1
1403;54.12;79,71894;1
1405;80.90;79,71769;1
1406;72.55;79,71259;1
1408;69.42;79,71084;1
1409;63.47;79,69932;1
1411;87.89;79,70528;1
1412;65.75;79,6954;1
1414;71.86;79,68016;1
1415;122.49;79,71042;1
1417;82.30;79,70972;1
1418;74.00;79,7057;1
1420;91.85;79,69009;1
1421;80.90;79,69095;1
1423;73.44;79,68903;1
1424;59.59;79,67491;1
1426;91.90;79,66428;1
1427;62.36;79,65216;1
1429;126.98;79,66326;1
1430;53.41;79,64491;1
1432;55.72;79,62685;1
1433;76.14;79,62441;1
1435;67.84;79,60248;1
1436;65.52;79,59267;1
1438;46.57;79,56737;1
1439;43.62;79,54238;1
1441;86.46;79,55581;1
1442;62.87;79,54424;1
1444;74.48;79,52396;1
1445;58.24;79,50924;1
1447;87.22;79,49647;1
1448;87.96;79,50231;1
1450;99.52;79,50169;1
1451;105.02;79,51928;1
1453;107.64;79,52305;1
1454;67.32;79,51466;1
1456;94.71;79,52797;1
1457;102.33;79,54362;1
1459;90.56;79,54514;1
1460;107.55;79,56432;1
1462;70.79;79,55798;1
1463;102.68;79,57378;1
1465;82.65;79,57283;1
1466;62.02;79,56085;1
1468;93.34;79,56481;1
1469;40.60;79,53829;1
1471;46.35;79,50828;1
1472;83.55;79,51102;1
1474;78.98;79,49791;1
1475;52.70;79,47974;1
1477;72.22;79,48145;1
1478;89.89;79,48849;1
1480;55.59;79,47698;1
1481;73.50;79,47295;1
1483;65.70;79,45914;1
1484;77.81;79,45802;1
1486;115.37;79,45696;1
1487;61.81;79,4451;1
1489;62.24;79,40985;1
1490;52.63;79,39188;1
1492;59.74;79,36105;1
1493;52.32;79,34294;1
1495;81.45;79,34424;1
1496;82.51;79,34635;1
1498;59.49;79,30845;1
1499;48.27;79,28774;1
1501;83.14;79,27914;1
1502;101.94;79,29422;1
1504;93.50;79,29078;1
1505;111.14;79,31194;1
1507;80.89;79,30122;1
1508;81.73;79,30283;1
1510;137.42;79,33333;1
1511;70.62;79,32756;1
1513;66.35;79,30287;1
1514;76.34;79,30091;1
1516;92.76;79,29042;1
1517;55.44;79,2747;1
1519;70.18;79,27054;1
1520;74.80;79,26759;1
1522;77.29;79,25841;1
1523;58.73;79,24493;1
1525;61.95;79,22652;1
1526;55.01;79,21065;1
1528;99.85;79,21741;1
1529;92.76;79,22627;1
1531;61.27;79,19951;1
1532;60.82;79,18751;1
1534;89.72;79,17981;1
1535;69.62;79,17358;1
1537;86.21;79,16606;1
1538;56.43;79,15128;1
1540;74.31;79,1347;1
1541;43.95;79,11187;1
1543;69.90;79,08696;1
1544;81.44;79,08848;1
1546;90.43;79,09325;1
1547;55.85;79,07822;1
1549;80.88;79,08467;1
1550;66.99;79,07687;1
1552;77.36;79,07563;1
1553;83.11;79,07823;1
1555;77.66;79,0663;1
1556;80.52;79,06724;1
